INFU,InfuSystems Holdings Inc. Common Stock,$18.50,0.26,1.425%,374383242.00,United States,,56321,Health Care,Medical/Dental Instruments
INS,Intelligent Systems Corporation Common Stock,$44.00,1.41,3.311%,392892192.00,United States,1992,67184,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$7.89,0.2854,3.753%,83074780.00,United States,1997,47139,Capital Goods,Electrical Products
INUV,Inuvo Inc.,$1.36,-0.03,-2.158%,159329085.00,United States,,5549842,Consumer Services,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$11.4171,0.00,0.00%,47588916.00,United States,,219,Consumer Services,Real Estate Investment Trusts
ISDR,Issuer Direct Corporation Common Stock,$20.75,-0.25,-1.19%,77641354.00,United States,,10351,Miscellaneous,Publishing
ISR,IsoRay Inc. Common Stock (DE),$1.55,-0.34,-17.989%,135200415.00,United States,,52902867,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$0.8354,-0.0066,-0.784%,45711111.00,China,,7725778,Consumer Durables,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$3.32,-0.18,-5.143%,181299148.00,,,80225,Basic Industries,Precious Metals
JOB,GEE Group Inc. Common Stock,$1.39,0.07,5.303%,24557301.00,United States,,1167004,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.8606,0.0066,0.773%,40594576.00,Canada,,2265552,Capital Goods,Railroads
KLR,Kaleyra Inc. Common Stock,$14.68,0.41,2.873%,430499529.00,United States,2018,232387,Technology,EDP Services
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$2.47,-0.01,-0.403%,370453927.00,United States,,1071258,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$26.50,1.87,7.592%,319057059.00,United States,2014,168048,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGL,LGL Group Inc. (The) Common Stock,$10.37,0.34,3.39%,54539418.00,United States,,9464,Capital Goods,Industrial Machinery/Components
